,Unnamed: 0,number_of_dialog,start_time,end_time,dialog,source,batch_id
84,84,87,"00:10:23,336","00:10:25,130",surrounding Derek's incarceration.,American History X (1998).csv,1324088686
85,85,88,"00:10:25,171","00:10:28,925",How these events helped shape your present perspective...,American History X (1998).csv,1324088686
86,86,89,"00:10:28,967","00:10:32,178",concerning life in contemporary America.,American History X (1998).csv,1324088686
87,87,90,"00:10:32,220","00:10:36,057","The impact on your life, your family's.",American History X (1998).csv,1324088686
88,88,91,"00:10:38,685","00:10:41,187","Whatever you want to say, Danny.",American History X (1998).csv,1324088686
89,89,92,"00:10:43,773","00:10:46,776",I'll be the only one reading it.,American History X (1998).csv,1324088686
90,90,93,"00:10:47,944","00:10:53,074",But if it's not on my desk tomorrow morning...,American History X (1998).csv,1324088686
91,91,94,"00:10:53,116","00:10:56,494",you are a ghost at Venice Beach High.,American History X (1998).csv,1324088686
92,92,95,"00:10:57,871","00:10:59,164",You clear?,American History X (1998).csv,1324088686
93,93,96,"00:11:00,165","00:11:02,208","Yeah, I'm clear.",American History X (1998).csv,1324088686
94,94,97,"00:11:07,672","00:11:09,174",Telling teacher I'm fucking cheating!,American History X (1998).csv,1324088686
95,95,98,"00:11:09,215","00:11:10,842",Is that what's happening?,American History X (1998).csv,1324088686
96,96,99,"00:11:12,010","00:11:13,678",I never cheated in my life.,American History X (1998).csv,1324088686
97,97,100,"00:11:13,720","00:11:15,221",Beat his motherfucking ass.,American History X (1998).csv,1324088686
98,98,101,"00:11:15,263","00:11:16,514",I didn't say anything!,American History X (1998).csv,1324088686
99,99,102,"00:11:16,556","00:11:17,849",Why you tripping on me?,American History X (1998).csv,1324088686
100,100,103,"00:11:20,268","00:11:23,480",Now why you all kicking it like that?,American History X (1998).csv,1324088687
101,101,104,"00:11:23,521","00:11:25,363","What's up, man?",American History X (1998).csv,1324088687
102,102,105,"00:11:25,398","00:11:28,360",What you scared for? I ain't gonna do nothing.,American History X (1998).csv,1324088687
103,103,106,"00:11:35,575","00:11:37,452",What's up?,American History X (1998).csv,1324088687
104,104,107,"00:11:37,494","00:11:41,164","Want some, too, bitch? Punk, what's wrong with you?",American History X (1998).csv,1324088687
105,105,108,"00:11:41,206","00:11:42,624",You want to die?,American History X (1998).csv,1324088687
106,106,109,"00:11:44,459","00:11:46,002",Punk-ass white boy.,American History X (1998).csv,1324088687
107,107,110,"00:11:52,759","00:11:56,721",You lucky I gotta go to class. He ain't gonna do nothing.,American History X (1998).csv,1324088687
108,108,111,"00:11:56,763","00:11:59,641",He don't wanna see me and the heater.,American History X (1998).csv,1324088687
109,109,112,"00:12:01,393","00:12:02,644",Lucky the bell rung.,American History X (1998).csv,1324088687
110,110,113,"00:12:02,686","00:12:04,562",I would have clocked that white boy.,American History X (1998).csv,1324088687
111,111,114,"00:12:04,604","00:12:07,399",Punk-ass motherfucker. Should smoke that fool.,American History X (1998).csv,1324088687
112,112,115,"00:12:08,441","00:12:10,902",You gotta fucking stand up for yourself.,American History X (1998).csv,1324088687
113,113,116,"00:12:26,584","00:12:28,670",We got a whole file on skinheads here.,American History X (1998).csv,1324088687
114,114,117,"00:12:28,712","00:12:30,171",Part of the same gang?,American History X (1998).csv,1324088687
115,115,118,"00:12:30,213","00:12:31,381",Venice Beach gang.,American History X (1998).csv,1324088687
116,116,119,"00:12:31,423","00:12:34,884","Actually, he's done a stretch at Y.A.",American History X (1998).csv,1324088687
117,117,120,"00:12:34,926","00:12:37,804","This guy C.C., is that him?",American History X (1998).csv,1324088687
118,118,121,"00:12:37,846","00:12:39,889","Yeah, that's him right there.",American History X (1998).csv,1324088687
119,119,122,"00:12:41,474","00:12:43,977","This morning we have a guest, and there he is.",American History X (1998).csv,1324088687
120,120,123,"00:12:44,019","00:12:45,186",Good morning.,American History X (1998).csv,1324088688
121,121,124,"00:12:45,228","00:12:46,396","Morning, sir.",American History X (1998).csv,1324088688
122,122,125,"00:12:46,438","00:12:47,772",Good to see you.,American History X (1998).csv,1324088688
123,123,126,"00:12:47,814","00:12:48,982",Good morning.,American History X (1998).csv,1324088688
124,124,127,"00:12:49,024","00:12:51,067",This here is Dr. Bob Sweeney.,American History X (1998).csv,1324088688
125,125,128,"00:12:51,109","00:12:53,570",He's principal over at Venice Beach High.,American History X (1998).csv,1324088688
126,126,129,"00:12:53,611","00:12:56,031","For some time now, he's been doing outreach work...",American History X (1998).csv,1324088688
127,127,130,"00:12:56,072","00:12:58,491",with gangs both in and out of the can.,American History X (1998).csv,1324088688
128,128,131,"00:12:58,533","00:13:01,453","Three years ago, a local kid named Derek Vinyard...",American History X (1998).csv,1324088688
129,129,132,"00:13:01,494","00:13:03,580",was sent up for murdering a couple of Crips...,American History X (1998).csv,1324088688
130,130,133,"00:13:03,621","00:13:05,790",who were trying to jack his car.,American History X (1998).csv,1324088688
131,131,134,"00:13:05,832","00:13:09,461","Bob taught Vinyard, and he's followed this case closely.",American History X (1998).csv,1324088688
132,132,135,"00:13:09,502","00:13:11,803","He was a skinhead, right?",American History X (1998).csv,1324088688
133,133,136,"00:13:11,838","00:13:14,382","He was more like ""the"" skinhead...",American History X (1998).csv,1324088688
134,134,137,"00:13:14,424","00:13:16,593",the prot g  of Cameron Alexander.,American History X (1998).csv,1324088688
135,135,138,"00:13:16,635","00:13:19,220",- Who? - Cameron Alexander.,American History X (1998).csv,1324088688
136,136,139,"00:13:19,262","00:13:22,265",Here you go. Have a look-see.,American History X (1998).csv,1324088688
137,137,140,"00:13:22,307","00:13:26,061","Cameron Alexander, well, he's a Venice Beach landmark.",American History X (1998).csv,1324088688
138,138,141,"00:13:26,102","00:13:27,896",He's the biggest distributor and writer...,American History X (1998).csv,1324088688
139,139,142,"00:13:27,937","00:13:30,398",of White Power literature and videos in L.A. County.,American History X (1998).csv,1324088688
140,140,143,"00:13:30,440","00:13:33,526","He promotes White Power bands, he writes reviews...",American History X (1998).csv,1324088689
141,141,144,"00:13:33,568","00:13:36,655","and in his spare time, this guy even writes hate columns.",American History X (1998).csv,1324088689
142,142,145,"00:13:36,696","00:13:39,491",- Does he have a record? - He's pretty clean.,American History X (1998).csv,1324088689
143,143,146,"00:13:39,532","00:13:42,160","Been trying to pin something to him, but it doesn't work.",American History X (1998).csv,1324088689
144,144,147,"00:13:42,202","00:13:44,829",Trust me. He's behind all of it.,American History X (1998).csv,1324088689
145,145,148,"00:13:44,871","00:13:47,624",He runs everything out of his house by the beach.,American History X (1998).csv,1324088689
