,dialog
981,He's making you feel guilty about writing on Adolf Hitler.
982,"Some nigger, some spic writes about Martin Luther King..."
983,or fucking Cesar commie Chavez gets a pat on the head.
984,Yeah.
985,"You can see the hypocrisy in that, can't you?"
986,Definitely.
987,"Come on, let's go."
988,No. Listen. Wait.
989,"I want to see you, OK?"
990,"I do, but I gotta take care of something tonight."
991, OK.
992, You understand?
993,Yeah. I'm here.
994,"When you're ready, I'm here."
995, Would you do something with me?
996, Anything.
997,Leave with me.
998,Leave where?
999,Leave here. Leave all this.
1000,Just come with me.
1001,Why would you want to leave?
1002,They worship you.
1003,You're like a god to them.
1004,"If we had it good before, wait till you see what it's like now."
1005,I don't want all that.
1006,I don't want my family involved.
1007,"Everything I've done here fucked it all up, understand?"
1008,You think what you did was wrong?
1009,"Oh, baby. Oh, come on."
1010,Those niggers got exactly what they deserved...
1011,and we all know that.
1012,"I understand you just got out, but no one's gonna hurt you."
1013,No one can touch you.
1014,There's a small army out there.
1015,We're not gonna let a bunch of spooks kick us out.
1016,You're not listening to me.
1017,I'm not scared.
1018,I don't want it anymore.
1019,I'm done with it.
1020,I'm through with this.
1021,"It's bullshit, Stacey."
1022,"You don't need this, Stacey."
1023,"Come on, trust me."
1024,"If you want to be with me, just trust me. Come with me."
1025,Come on.
1026,You're nuts. You are nuts.
1027,No way.
1028,I don't think you realize what's been going on here.
1029,"We are 10 times what we were, and we are bloody organized."
1030,It is like nothing you have ever seen.
1031,This was a mistake. Forget it.
1032,Wait a second.
1033,What was a mistake?
1034,"Stacey, just say goodbye."
1035,This isn't you. I know you.
1036,"You don't know anything about me, Stacey."
1037, Are you Danny's brother?
1038, Yeah.
1039,Will you tell him Lizzy's looking for him?
1040,Thank you.
1041,"We'll let the niggers, kikes, and spics grab for the pie."
1042,Can't blame 'em.
1043,"Course, they're gonna have to fight to get it."
1044,And if we scare the fuck out of people...
1045,"and a few people get killed in the process, so be it."
1046,"Gonna put that in your paper, Danny?"
1047,"Hey, man."
1048,"Well, look who's here."
1049,The return of the soldier.
1050,"What are you doing here, Danny?"
1051,"Come on, man."
1052,I had to check it out.
1053,You knew I was gonna come.
1054,"Let the kid alone, Derek."
1055,He knows when to go to bed.
1056,Go wait outside.
1057,"Come on, Der."
1058,I'm not doing anything.
1059,This little blonde girl keeps asking for you.
1060,She's dying. Come on.
1061, I gotta check out.
1062, Go easy on her.
1063,All right.
1064,Wait for me right outside.
1065,Take it easy.
1066,Chill out.
1067,You're on safe ground.
1068,You don't have to watch your ass around here.
1069,Come on. Sit down. Relax.
1070,I'm sorry.
1071,The party was a little quick...
1072,"but we're just so damn glad you're back, Derek."
1073,It's only natural you should feel a little funny.
1074,"I don't feel funny, Cam."
1075,You made the fat kid a little nervous.
1076,He thinks the joint messed with your mind.
1077,It did.
1078,"Glory, glory, hallelujah..."
1079,The white man marches on!
1080,Things have changed since you've been gone.
1081,You talk about organization?
1082,Wait'll you see what we've done with the internet.
1083,We've got every gang from Seattle to San Diego...
1084,working together now.
1085,Not competing anymore.
1086,They're consolidated.
1087,Only thing we lack is a little overall leadership.
1088,That's where you come in.
1089,Those people out there got a lot of respect for you.
1090,"When you're ready, come talk to me about it."
1091,You can forget about that.
1092,"I'm done with it, Cam."
1093,"Yeah, well, I know you grew out of..."
1094,"that shaved head bullshit a long time ago, thank God."
1095,I like your hair the way it is now.
1096,"See, that's what I mean."
1097,We're thinking bigger now.
1098,No more of this fucking grocery store You're not listening to me.
1099,I am done with it.
1100,"All that bullshit out there and all your bullshit, too."
1101,I'm out.
1102,I understand how you feel.
1103,You've just done hard time.
1104,Don't you fucking talk to me about hard time.
1105, You don't know anything.
1106, I've done mine.
1107,You didn't do shit.
1108,I found out about you.
1109,"You did two months, then rolled over on two kids..."
1110,and let them go down for you.
1111,"So don't feed me your fucking lies, Cameron."
1112,All right. This is stupid.
1113,I'm done.
1114,You go cool off.
1115,Get laid. Do something.
1116,"Get your head on straight, and then I'll talk to you."
1117,"But it doesn't matter if I don't, does it?"
1118,'Cause you got the next crop...
1119,"lined up and ready to go, you fucking chicken hawk."
1120,Excuse me?
1121,"You prey on people, Cam!"
1122,You use them!
1123,I lost three years of my life for your fucking phony cause...
1124,"but I am on to you now, you fucking snake."
1125,"Derek, watch it. Be careful."
1126,Remember where you are.
1127,This isn't some fucking country club you can waltz in and out Shut up! Shut the fuck up!
1128,I came here to tell you one thing. I am out.
1129,"Out! And Danny is out, too!"
1130,"If you come near my family, I'll fucking kill you."
1131,"Excuse me, but fuck you, Derek."
1132,You can't come barking threats at me.
1133,"You can do whatever you want, but Danny is a good kid."
1134,He's not some whiny pussy like you.
1135,"He needs my help, and I'm gonna give it to him."
1136,If you come near Danny again...
1137,"I will feed you your fucking heart, Cameron."
1138,I won't have to.
1139,He'll come to me.
1140,I'm more important to him now than you'll ever be.
1141,Shit.
1142,"You're a fucking dead man, Vinyard."
1143,"Hey, where's Cameron?"
1144,Where the fuck is he?
1145,"Stay away from me, Stacey."
1146,Danny!
1147,Why don't you share with the rest of us...
1148,"what you just said to me, you piece of shit nigger!"
1149,You monkeyfucking traitor!
1150,You a fucking niggerfucker?
1151,"Hey, Danny! Come on!"
1152,He's a fucking nigger!
1153,Nigger! Nigger!
1154,Cam's out cold!
1155,Where the fuck are you going?
1156,Gun! He's got a gun!
1157,Shit! Back up!
1158,You make me fucking sick!
1159,Put down the fucking gun!
1160,Shoot the nigger!
1161,Shoot him!
1162,"Do it, Seth! Shoot him!"
1163,Traitor!
1164,"Do it, Seth! Do it!"
1165,Back up! Move!
1166,Back up! Back the fuck up!
1167,Move! Move!
1168,"Easy, Derek! Hey!"
1169,"Easy, Danny!"
1170,Who do you think you are?
1171," Danny, relax."
1172, Who do you think you are?
1173,"Take it easy, Dan."
1174,"I fucking hate you, Der!"
1175,All right. I mean it.
1176,Huh?
1177,Come on. Shut up.
1178,Take it easy.
1179,"What's happened to you, Der?"
1180,Take it easy.
1181,"What's happened to you, Der?"
1182,Come on. Come on.
1183,It's just so fucked.
1184,I'm sorry. You weren't supposed to see that.
1185,I told you not to come.
1186,"Fuck you, man."
1187,That was so fucked up.
1188,"I know, I know."
1189,"God, it wasn't supposed to happen that way."
1190,That was fucked up.
1191,That's all there is to it.
1192,That's not what I planned.
1193,It just all went to shit.
1194,Just shit.
1195,Got totally out of control.
1196,What's fucking happening here?
1197,"Hey, look at me."
1198,"I can't go back to that, Dan."
1199,Can't go back to what?
1200,To any of it.
1201,"Those guys, the gang, that life."
1202,I'm done with it.
1203,What happened to you up there?
1204,Feed line. Back up for chow.
1205,"Don't be late, you piece of shit!"
1206,Let's go if you want to eat!
1207,Get up! Five minutes!
1208,This is my fucking house!
1209,Get up!
1210,"What the fuck's your problem, you assholes?"
1211,Move! Let's go!
1212,Open the fucking gates!
1213,"All right, rack 'em!"
1214,Five minutes! Step forward!
1215,Those beds better be made.
1216,"After two days, I didn't think I'd make it a week."
1217,"Come on, you motherfuckers!"
1218,"You want to eat today, you fucking piece of shit?"
1219,"Hey, you white trash piece of shit!"
1220,"You think you're fucking special, whitefish?"
1221,Button that top button!
1222,Let's go! Move!
1223,Are you eyeballing me?
1224,"Don't eyeballfuck me, asshole!"
1225,I'll fucking kill you!
1226,"I'm gonna keep my eye on you, you white piece of shit!"
1227,"Don't fucking eyeball me, boy!"
1228,I'll fucking skullfuck you!
1229,Step forward!
1230,Turn to the left.
1231,Step forward to chow! Let's go!
1232,Come on!
1233,"Hey, fish, straight ahead."
1234,"Straight ahead, fucker!"
1235,Let's go!
1236,All the wrong people knew who I was anyway...
1237,so I figured I'd put up a flag and hope a friend sees it.
1238,That's the cat I'm talking about right there.
1239,Boss.
1240,Have a seat.
1241,It's a pleasure.
1242,"Don't fuck with me, all right?"
1243,'Cause I'm the most dangerous man in this prison.
1244,You know why?
1245,'Cause I control the underwear.
1246,"We pick 'em up over here, and we store 'em over there."
1247,"And I hope you work out, all right?"
1248,'Cause the last guy they sent me didn't wear no drawers...
1249,couldn't read the sizes in the drawers...
1250,"and used to sniff the drawers, all right?"
1251,"We got two sizesmedium and large, all right?"
1252,All you gotta do is put the mediums with the mediums...
1253,"and the larges with the larges, all right?"
1254,I know it's a boring job...
1255,but it's better than that last shit they had me doing.
1256,I spent two years in the kitchen scrubbing hotass pots and pans.
1257,"That you don't wanna do, all right?"
1258,You should be happy as shit you landed this job.
1259,There's no telling what they'd have you do up in the joint.
1260,By the way...
1261,what you in for?
1262,"Probably robbed some old lady, huh?"
1263,"OK, I know your kind, right?"
1264,Badass peckerwood with an attitude.
1265,"Let me tell you something, man, you better watch your ass..."
1266,"'cause in the joint, you the nigger, not me."
1267,I was a year in.
1268,I thought I was cruising.
1269,Then everything started getting complicated.
1270,What the fuck is that?
1271,What's that all about?
1272,"That's just politics, man."
1273,"Favors, you know?"
1274,He's doing favors for that fucking spic?
1275,Mitch has just got a little something extra...
1276,"on the side with them boys, you know?"
1277,"You're kidding, right?"
1278,No.
1279,"That's bullshit, man."
1280,Somebody should say something to him.
1281,What the fuck is he thinking?
1282,Mitch is the only reason you're not a corpse right now.
1283,You know what?
1284,I don't fucking give a shit.
1285,I can take care of myself.
1286,He shouldn't be doing that.
1287,"I'm getting sick of it, man."
1288,There's a lot of hard talk here and no followthrough.
1289,I think you better chill out on the preaching bullshit.
1290,We're getting a little tired of that shit around here.
1291,Ease up on it.
1292,"What are you doing here, Doris?"
1293,I was in the neighborhood.
1294,"Look, I told you I don't want you all coming up here."
1295,"I don't care what you told me, OK?"
1296,I need to talk to you now.
1297,"So, how is everyone?"
1298,Davina's great. She's getting straight As almost.
1299,"And Ally's walking, starting to talk a little."
1300,How's Danny?
1301,He holds you up so high.
1302,He thinks you're the greatest.
1303,He's always bragging about you to Cameron...
1304,and all his new friends.
1305,He's starting to remind me of you.
1306,"Jesus, don't sound so worried, all right?"
1307,I'm sure he's fine.
1308,"He's 16 years old, Doris."
1309,He's not gonna be a little angel forever.
1310,You think because I watched my firstborn...
1311,fuck up his entire life that I can sit here...
1312,and see my baby follow him down the same toilet?
1313,I can't fix all this shit from up here.
1314,I'm not asking you to.
1315,All it does is make me feel bad.
1316,You're just making it harder.
1317,"You think you're the only one doing time, Derek?"
1318,You think you're here all alone?
1319,You think I'm not in here with you?
1320,"Fuck, man."
1321,Every day I watch you go through these sheets...
1322,like you gonna get to the end of them.
1323,"Look, nigger, will you chill the fuck out?"
1324,Goddamn!
1325,No matter how fast you get through them...
1326,they gonna keep bringing them in and bringing them in.
1327,Throwing them around like that...
1328,ain't gonna do a damn thing but give you a heart attack!
1329,And you know what?
1330,That's cool with me!
1331,"But you gonna give me a goddamn heart attack, too!"
1332,"I know, I'm just a dumb, stupid nigger, right?"
1333,What do I know?
1334,"I know I ain't the one getting mad at them sheets, though."
1335,"As a matter of fact, the only sheets I get mad at..."
1336,I'll tell you.
1337,"All right, boy, this is what we gonna do."
1338,We gonna hate some niggers.
1339,That's what we'll do today.
1340,We gonna hate some goddamn niggers.
1341,That's all we gonna do is hate some niggers all day.
1342,"Don't know what a nigger is, but we gonna hate them."
1343,My cousin Derek is in the pen right now...
1344,"working next to a nigger, driving him nigger crazy."
1345,See? That's the ticket.
1346,Nice and easy.
1347,Now we can ignore each other in peace.
1348,"""What are you doing?"" You know what he tells me?"
1349,"""It's better than the pig I just tried to fuck."" He never lets me finish the joke."
1350,"You fuck him, too?"
1351,"Whatever. She's laying on her back, her legs are open..."
1352,What's up? How you doing?
1353,There you go.
1354,He was taking it from the Mexicans...
1355,and dealing it out to his own people.
1356,He didn't believe in shit.
1357,None of them did.
1358,"What? Come on, man."
1359,Don't look at me like that.
1360,You know what that smells like.
1361,Don't tell me this smell don't remind you of a woman.
1362,"God, I miss that smell, man."
1363,The job I had on the outside wasn't much better than this...
1364,but at least I got to go home every night...
1365,"and lie down next to that sweet smell, man."
1366,"God, I miss that."
1367,You got a woman?
1368,"Yeah, you got a woman, man."
1369,"Let me give you some advice, all right?"
1370,When she comes to visit you...
1371,"whatever you do, no matter what..."
1372,"don't let her leave here in a fight, man."
1373,Don't let her walk out with a bad attitude...
1374,"'cause if you do, you spend the next week..."
1375,wondering if she's getting her fuck on with somebody else...
1376,you know what I'm saying?
1377,"So when she come to see you, it's nothing but sweet talk."
1378,"Send her away floating, all right?"
1379,'Cause it's not like the real world where you can fight...
1380,'cause you can make up and have that makeup sex.
1381,Know what I'm saying?
1382,That angry sex.
1383,That sex with an attitude.
1384,You lay on your back and let her take out that aggression on you.
1385,"All guys know that, man."
1386,That's that good sex.
1387,"That's that pow, pow, pow."
1388,"Let her get on top, and she'll punish you first."
1389,"""You been a bad boy, huh?"
1390,"""You been a bad boy, and I'm gonna punish you."
1391,"""I'm gonna put it on you."
1392,"""Don't you ever..."
1393,let... me... catch... you...
1394,"""looking at... another... woman."
1395,"Yeah, yeah."
1396,"""I may forgive you if you bring it."
1397,"""I think I can. II forgive."
1398,"""I forgive. Right there."
1399,You're hitting it.
1400,"""My spot. That's it. Right."
1401,"""Yes. I forI forgive you."
1402,I forgive you.
1403,"""I forI for I forI forgive you!"
1404,"""I love you!"" How do you figure the Lakers to ever be a bigger dynasty..."
1405,than the Celtics?
1406,"The Lakers are a flareup, a fluke."
1407,Are you crazy?
1408,One good coach for four years.
1409,The Celtics are a dynasty!
1410,"Come on, man."
1411,"The Celtics, right?"
1412,The ugliest team in the history of sports.
1413,"A dynasty of ugly motherfuckers, man."
1414,Look at Kevin McHale.
1415,James Worthy. That guy has a head like a melon.
1416,He had ladies.
1417,I can't even talk to you.
1418,I don't know what you're saying.
1419,You are tweaking.
1420,Boston Celtics.
1421, How many is that?
1422, That's enough.
1423,Enough? All right.
1424,You got that?
1425," I lost count, man."
1426," Doesn't matter, man."
1427,Who's counting anyway?
1428,"All right, so I wanna know something."
1429,What the fuck landed you in here?
1430,"You didn't kill anybody, too skinny for a gangbanger."
1431,Ain't that a bitch?
1432,Don't judge a book by its cover.
1433,I can throw these things.
1434,Whatever. Come on.
1435,What did you do?
1436,None of your business.
1437,It's embarrassing.
1438,It's none of your goddamn business.
1439,Come on. Everybody in here is embarrassed.
1440,Nobody in here got away with anything.
1441,What'd you do?
1442,"Look, man, I stole a TV, all right?"
1443,So you stole a TV.
1444,What's embarrassing about that?
1445,I stole a TV from a store next to a doughnut shop.
1446,"I ran out, the owner's right behind me yelling."
1447,Bam! I run into three cops.
1448,I told you it was embarrassing.
1449,You're laughing.
1450,"Wait a sec, wait a sec."
1451,That don't make sense.
1452,"Nah, you didn't get six years for stealing a TV. Come on."
1453,"I come out, the police officer grabs my arm..."
1454,the TV falls on his foot and breaks it.
1455,They said I threw the TV at him.
1456,Assault. Six years.
1457,Come on. Tell the truth.
1458,You chucked it at him.
1459,"Like I said, I came out of the store..."
1460,"he grabbed my arm, it fell on his foot."
1461,Come on now.
1462,"What you got for me, huh?"
1463,"There you go, baby!"
1464,Yeah!
1465,That's what I'm talking about.
1466,Fuck you!
1467,Give me a towel. Hold him.
1468,"You wanna be a nigger, sweet boy?"
1469, Fuck you!
1470, We gonna treat you like one.
1471, No.
1472, Come on.
1473,"Come on, give it to him!"
1474,Fuck you!
1475,That was real sweet.
1476,Fuck you!
1477,How is he?
1478,"Well, he took six stitches."
1479,"Man, what the hell are you doing here, anyway?"
1480,"I came to talk about Danny, but we don't have to do that now."
1481,I brought you some books.
1482,"What about him, you know?"
1483,Don't keep me in suspense.
1484,He's headed right where you are.
1485,You know what? My mother already laid this trip on me.
1486,Danny's not my responsibility.
1487,What do you expect me to do with that?
1488,It doesn't help me.
1489,Am I supposed to feel guilty?
1490,I don't want you to do anything.
1491,I need to know the truth about how you feel.
1492,You think I want him in here?
1493,I mean... I don't know.
1494,I don't know what I feel.
1495,I'm all...
1496,I feel a little inside out.
1497,"I'm, you knowI don't know."
1498,There's some things that... that don't fit.
1499,"Well, that happens."
1500,You are too damn smart to be floating around here...
1501,pretending you don't see all the holes in this bullshit.
1502,"Hey, listen."
1503,I said I was confused.
1504,I didn't say I didn't believe in it.
1505,All right. That's why you have to stay open.
1506,"Right now, your anger is consuming you here."
1507,Your anger is shutting down the brain God gave you.
1508,"God. You know, man?"
1509,You've been talking about...
1510,what's going on with me since I was in high school.
1511,How the fuck do you know what's going on inside me?
1512,"No, I know about me."
1513,I know about this place.
1514,I know about the place you are in.
1515,What do you know about the place I'm in?
1516,There was a moment...
1517,when I used to blame everything and everyone...
1518,for all the pain and suffering...
1519,and vile things that happened to me...
1520,that I saw happen to my people.
1521,Used to blame everybody.
1522,"Blamed white people, blamed society, blamed God."
1523,I didn't get no answers 'cause I asked the wrong questions.
1524,You have to ask the right question.
1525,Like what?
1526,Has anything you've done made your life better?
1527,"You gotta help me, man."
1528,Just help me.
1529,"Get me out of here, you know?"
1530,I'm up in four months for review.
1531,Put in a word for me.
1532,"I already have. So you're out there, and then what?"
1533,I don't want to fuck up my family anymore.
1534,I'll go as far away as I can get.
1535,That's not good enough.
1536,"You want my help, you gotta do better than that."
1537,My help is not unconditional.
1538,Running just ain't good enough.
1539,Fuck him. Fuck him.
1540,Fuck him.
1541,Let the niggers have him.
1542,"What's up, D?"
1543,What's all that bullshit you pulled in the mess hall?
1544,You out of your fucking mind?
1545,Are you fucking crazy?
1546,"D, look at me, man!"
1547,You can't make it in here on your own.
1548,I'm not afraid of those fucking pussies.
1549,"There was six of them, and they jumped me."
1550,That won't happen again.
1551,I hope they fucking try.
1552,"Man, I'm not talking about your peckerwood friends!"
1553,They're protecting your stupid ass!
1554,You dissed them in public!
1555,Now you're on your fucking own!
1556,"Yo, man, I'm talking about the brothers, all right?"
1557,"They'll fuck you, then smoke your motherfucking ass!"
1558,Why don't you tell me something I don't know?
1559,You think I haven't thought about that?
1560,"If they come for me, they come."
1561,There ain't nothing I can do.
1562,"What can I do, man?"
1563,So I was right back where I started.
1564,Every day I was sure it was my day.
1565,Every time I stepped out of my cell...
1566,every time I got in that shower...
1567,I figured it was only a matter of time...
1568,before they made a move.
1569,I just hoped it'd be quick.
1570,But it never came.
1571,I couldn't figure it out.
1572,I knew some of them were itching for it.
1573,"After awhile, I just put my head down..."
1574,and read the stuff that Sweeney sent me...
1575,and I kept to myself.
1576,"Last six months in that place, I was like a ghost."
1577,"What's up, man?"
1578,You getting out?
1579,"Come on, man."
1580,What the fuck you waiting on?
1581,"Get the fuck on outta here, man."
1582,"Yeah, you know, I got this funny feeling."
1583,"Oh, yeah? What's that?"
1584,I'm thinking maybe the only reason...
1585,I'm getting out of here in one piece is you.
1586,"Come on, man!"
1587,Get the fuck outta here!
1588,You think I'm gonna put my neck on the line...
1589,for some crazy ass peckerwood?
1590,Yeah. Right.
1591,Stupid.
1592,That's what I thought.
1593,"I owe you, man."
1594,"Man, you don't owe me shit, all right?"
1595,"Yes, I do."
1596,You'll be outta here in no time.
1597,"Man, it's a piece of cake, all right?"
1598,"Just take it easy on the brothers, all right?"
1599,The brothers!
1600,"God, man."
1601,"Sorry, Derek."
1602,Sorry that happened to you.
1603,"Well, I'm not. I'm lucky."
1604,"I feel lucky, 'cause it's wrong, Dan."
1605,"It's wrong, and it was eating me up."
1606,It was gonna kill me.
1607,And I kept asking myself all the time...
1608,"how did I buy into this shit, you know?"
1609,It's just 'cause I was pissed off.
1610,Nothing I ever did ever took that feeling away.
1611,"I killed two guys, Danny."
1612,I killed them.
1613,And it didn't make me feel any different.
1614,Just got me more lost...
1615,"and I'm tired of feeling pissedoff, Danny."
1616,I'm just tired of it.
1617,And I'm not telling you what to do.
1618,I'm really not.
1619,But I need you to understand...
1620,"'cause I love you, and you're my best friend."
1621,Do you understand?
1622,"Yeah, I understand."
1623,All right.
1624,Jesus.
1625,Hi. Everything OK?
1626,"Ah, everything's great."
1627,Great. Yeah.
1628,You wanna sleep in our room?
1629, No. Thank you.
1630, You sure?
1631,Yeah. This is good.
1632,Thank you.
1633,"All right. Come on, let's go."
1634,Good night.
1635,"I'm gonna take a shower, all right?"
1636,It's hard to look back...
1637,and see the truth about people you love.
1638,I think if you asked Derek why it all went the way it did...
1639,and where it all started...
1640,he'd still say it started when our father was murdered.
1641,"The truth is, it started earlier."
1642,Are we all meeting for the game tonight?
1643,Definitely.
1644,"All right, Ben's Burger at 7:00..."
1645,then we go watch the big guy play.
1646,Psyching up for the game?
1647,I'm always ready for that.
1648,I got an English exam.
1649,I'm having a heart attack.
1650,I'm not ready.
1651,What's the matter?
1652,"Afraid you'll get a ""B""?"
1653,Might do you good. Bminus.
1654,"Hey, don't laugh."
1655,This guy is different.
1656,Dr. Sweeney.
1657,This guy's unbelievable.
1658,Unbelievable. I've never had a teacher like this.
1659,He's got two Ph. D.s.
1660,I don't know what he's doing teaching at our school.
1661,What's he got you reading?
1662,"We got this essay exam on ""Native Son."" ""Native Son""?"
1663,I don't know that.
1664,That's a big surprise.
1665,What? I read.
1666,"Honey, they don't teach Tom Clancy in school."
1667,"Well, they don't."
1668,"So what is this ""Native Son""?"
1669,It's this book about this black guy.
1670,We're doing this whole black literature unit.
1671,Is it Black History Month?
1672,"No, it's just this guy Sweeney, you know?"
1673,It's part of the course now.
1674,What?
1675,Nothing. It's just...
1676,It's everywhere I look now.
1677,What?
1678,This affirmative blacktion.
1679,A few new books doesn't qualify as affirmative black action.
1680,"Read the book, ace the guy's test."
1681,Just don't swallow everything he feeds you whole.
1682,Just 'cause you see it on the evening news...
1683,"I know, but what?"
1684,All this stuff about making everything equal.
1685,It's not that simple.
1686,"Now you got this book ""Native Son."" What happened to the other books in the course?"
1687,They're not any good anymore because Mr. Two PhD. says so?
1688,Now you gotta trade in great books for black books?
1689,Does that make sense?
1690,"You gotta question these things, Derek."
1691,You gotta look at the whole picture.
1692,We're talking about books here.
1693,I'm also talking about my job.
1694,I got two black guys on my squad now...
1695,who got their job over a couple of white guys...
1696,who actually scored higher on the test.
1697,Does that make sense?
1698,"Everything's equal now, but I got two guys watching my back..."
1699,responsible for my life who aren't as good.
1700,They only got the job because they were black...
1701,not because they were the best.
1702, That sucks.
1703, Is that what America's about?
1704,"No, America's about best man for the job."
1705,"You do your best, you get the job."
1706,This affirmativeaction crap...
1707,I don't know what that's about.
1708,There's like some hidden agenda or something going on.
1709,You see what I'm saying?
1710,"Yeah, I do. I didn't think about it like that."
1711,"This guy, thoughI don't know."
1712,"Dr. Sweeney, he comes on so strong..."
1713,it's hard not to listen to him...
1714,but maybe some of what he says is kinda...
1715,It's bullshit.
1716,"Yeah. Yeah, maybe."
1717,No. It's nigger bullshit.
1718," You see that, don't you?"
1719, Yeah.
1720,You gotta watch out for that.
1721,"Yeah. No, I get what you're saying. I will."
1722,Good boy.
1723,I'm proud of you.
1724,Don't worry about it. I got it.
1725,And in about one minute...
1726,I'm gonna watch the sun come up.
1727,I don't know if I've ever done that.
1728,"Anyway, we're gonna try to pick things up and start over."
1729,"It won't be easy, but we're all together again..."
1730,and I feel good.
1731,I'm not sure if this paper is what you wanted if I hit the social significance...
1732,or whatever you're looking for...
1733,"but for what it's worth, thanks a lot."
1734,Wow. You look great.
1735,Look at you.
1736,Yeah. Gotta dress up for the parole officer.
1737,Is she cute?
1738,She is a fat guy named Hector...
1739, Oh. Well...
1740, So I'm out of luck.
1741,I just gotta check in...
1742,then I'm gonna see about getting my old job back.
1743, Great.
1744, Good morning.
1745,"Davina, can you help?"
1746,Your sister's gonna help you.
1747,You look great. Knock 'em dead.
1748,Thanks.
1749,"Come on, sweetie. What would you like to wear today?"
1750, You do look good.
1751, Yeah? I feel silly.
1752, You look good.
1753, Yeah?
1754,You feel good?
1755,"Yeah. I feel, you know..."
1756,a little...
1757,I'm getting there.
1758,Listen... I don't know I don't know if it's OK that I'm here.
1759,I want to be here.
1760, I'm gonna get a paper.
1761, Cool.
1762, What do you want?
1763, Maple bar and a large milk.
1764,All right. I got it.
1765,Let me get a coffee...
1766,"a maple bar, and a large milk to go."
1767,Right away.
1768,"Derek, we need to talk."
1769,What's going on?
1770,Cameron Alexander and Seth Ryan are at the ICU at St. John's.
1771,They were jumped last night near Ben's Burgers.
1772,How bad?
1773,"Well, it looks like they're gonna live."
1774, Then they got lucky.
1775," Somebody's gotta lose, though."
1776,What?
1777,We were kinda hoping maybe you'd talk to your old crew Come on. No way.
1778,"If there's anybody they're gonna listen to, it's you."
1779,"No. I hate to tell you, but I'm out, OK?"
1780,Those guys are probably gunning for me now.
1781,"We're asking for your help here, Derek."
1782,Did you tell him I was gonna do this?
1783,This has got nothing to do with me anymore.
1784,"Yes, it does. It has everything to do with you."
1785,"God, what are you doing to me?"
1786,I'm doing my best!
1787,I'm going like this just to keep my family in the clear.
1788,Don't ask me to fix this fucking situation!
1789, I'm not asking that.
1790, It was there before me.
1791,You helped create it.
1792,You wanna take a break now?
1793,"You take a break, you'll find no peace."
1794,The way to find peace is to stick.
1795,It's not gonna make a fucking bit of difference.
1796, It might.
1797, Not a bit.
1798,"I mean, do you know what you're asking me to do?"
1799,Yes. I'm asking you to do whatever's in your power to do.
1800,"Oh, man."
1801,Fuck.
1802,All right.
1803,You know what you're gonna do?
1804,Get me shot by white boys.
1805,I doubt it.
1806,"We're all gonna have a laugh at that, let me tell ya."
1807,I'm gonna take him to school.
1808,I'll be back in half an hour.
1809,Come on.
1810,"Hey, you. You got something good for me this morning?"
1811,"I'll give it to you, Dr. Sweeney."
1812," Yeah, OK."
1813, All right.
1814,What's going on?
1815,"Come on, let's go."
1816,"It's just so bad for Seth, man."
1817,I wonder how bad they got fucked up.
1818,I'm glad they're not dead.
1819,"Other than that, I don't care."
1820,Should we visit them?
1821,No. Definitely not.
1822,Just stay out of it.
1823,Listen. I saw a car cruising by the house last night...
1824,when I pulled out of there with Seth.
1825,"If you get home before me today, give a look around the street."
1826,Make sure there's nothing going on.
1827,"Man, this is bad."
1828," They're after you, man."
1829, It'll cool off.
1830,"If I made it through Chino, this should be a piece of cake."
1831,You gonna be OK?
1832,What are you gonna do?
1833,I'll work it out.
1834,"Keep your head up, all right?"
1835,Things are gonna be fine.
1836,It's gonna be fine.
1837,Go turn that paper in.
1838,All right. See ya.
1839,Come here.
1840,I'll see you at home.
1841,All right?
1842,"Yeah, I'll see you."
1843,"Good luck, all right?"
1844, Yeah.
1845, See you later.
1846, Gonna be late.
1847, We better go.
1848,All right. Come on.
1849,Bye.
1850,I'll catch up with you.
1851,See you later.
1852,Get out of my way!
1853,All right! Let him go!
1854,"Oh, no."
1855,"Aw, Jesus."
1856,"Oh, Jesus."
1857,"God, what did I do?"
1858,So I guess this is where I tell you what I learned.
1859,"My conclusion, right?"
1860,"Well, my conclusion is hate is baggage."
1861,Life's too short to be pissed off all the time.
1862,It's just not worth it.
1863,Derek says it's always good to end a paper with a quote.
1864,He says someone else has already said it best...
1865,so if you can't top it...
1866,steal from them and go out strong.
1867,So I picked a guy I thought you'd like.
1868,"""We are not enemies, but friends."
1869,"""We must not be enemies."
1870,"""Though passion may have strained..."
1871,"""we must not break our bonds of affection."
1872,"""The mystic chords of memory..."
1873,"""will swell when again touched..."
1874,"""as surely they will be..."
