number_of_dialog,start_time,end_time,dialog
151,"00:08:48,652","00:08:49,986",Thank you.
152,"00:08:50,070","00:08:52,948",It's his first day on Wall Street. Give him time.
153,"00:08:53,532","00:08:55,742",- Thank you. - Thank you.
154,"00:08:56,743","00:08:57,786",Mr. Hanna?
155,"00:08:58,412","00:09:04,167","You're able to do drugs during the day and then still function, still do your job?"
156,"00:09:04,251","00:09:06,086",How the fuck else would you do this job?
157,"00:09:06,169","00:09:08,338","Cocaine and hookers, my friend."
158,"00:09:08,463","00:09:09,840",Right.
159,"00:09:10,841","00:09:15,637","Well, I got to say, I'm incredibly excited to be a part of your firm. I mean..."
160,"00:09:16,221","00:09:17,597",The clients you have are absolutely...
161,"00:09:17,681","00:09:19,141",Fuck the clients.
162,"00:09:19,725","00:09:22,978",Your only responsibility is to put meat on the table.
163,"00:09:24,062","00:09:25,313",You got a girlfriend?
164,"00:09:25,397","00:09:26,940",I'm married. I have a wife.
165,"00:09:27,023","00:09:29,109",Her name is Teresa. She cuts hair.
166,"00:09:29,192","00:09:30,485",- Congratulations. - Thank you.
167,"00:09:30,569","00:09:31,903",Think about Teresa.
168,"00:09:31,987","00:09:33,155",Name of the game.
169,"00:09:33,280","00:09:37,075",Move the money from your client's pocket into your pocket.
170,"00:09:37,200","00:09:38,243",Right.
171,"00:09:38,326","00:09:39,995","But if you make your clients money at the same time,"
172,"00:09:40,078","00:09:42,330",it's advantageous to everyone. Correct?
173,"00:09:43,081","00:09:44,166",No.
174,"00:09:45,167","00:09:47,169",Number one rule of Wall Street.
175,"00:09:48,003","00:09:49,337",Nobody...
176,"00:09:49,463","00:09:51,590",I don't care if you're Warren Buffett or if you're Jimmy Buffett.
177,"00:09:51,673","00:09:56,303","Nobody knows if a stock is gonna go up, down, sideways, or in fucking circles."
178,"00:09:56,386","00:09:58,388","Least of all stockbrokers, right?"
179,"00:09:58,472","00:10:01,057",It's all a fugazi. You know what a fugazi is?
180,"00:10:01,141","00:10:03,518",Fugayzi. It's a fake.
181,"00:10:03,643","00:10:06,021","Fugayzi, fugazi, it's a whazy, it's a woozy, it's..."
182,"00:10:06,104","00:10:08,440",Fairy dust. It doesn't exist.
183,"00:10:08,523","00:10:11,943",It's never landed. It is no matter. It's not on the elemental chart.
184,"00:10:12,027","00:10:14,029",It's not fucking real.
185,"00:10:14,112","00:10:15,947",- Right? - Right.
186,"00:10:16,072","00:10:17,741",Stay with me.
187,"00:10:17,866","00:10:20,118",We don't create shit. We don't build anything.
188,"00:10:20,243","00:10:21,369",No.
189,"00:10:21,453","00:10:24,289",So if you got a client who bought stock at 8
190,"00:10:24,372","00:10:26,792","and it now sits at 16, he's all fucking happy."
191,"00:10:26,875","00:10:29,961","He wants to cash in, liquidate, take his fucking money and run home."
192,"00:10:30,045","00:10:32,005",- You don't let him do that. - Okay.
193,"00:10:32,130","00:10:33,965",- 'Cause that would make it real. - Right.
194,"00:10:34,049","00:10:35,300",No. What do you do?
195,"00:10:35,383","00:10:37,344",You get another brilliant idea.
196,"00:10:37,469","00:10:38,887",A special idea.
197,"00:10:38,970","00:10:43,558","Another ""situation."" Another stock to reinvest his earnings and then some."
198,"00:10:43,642","00:10:45,894","And he will, every single time."
199,"00:10:46,019","00:10:48,063",'Cause they're fucking addicted.
200,"00:10:48,230","00:10:51,233","And you just keep doing this, again and again and again."
201,"00:10:51,316","00:10:53,985","Meanwhile, he thinks he's getting shit rich,"
202,"00:10:54,069","00:10:56,154","which he is, on paper."
203,"00:10:56,238","00:10:57,906","But you and me, the brokers,"
204,"00:10:58,031","00:11:02,118","we're taking home cold hard cash via commission, motherfucker."
205,"00:11:02,744","00:11:03,912",Right.
206,"00:11:05,497","00:11:08,583","That's incredible, sir. I can't tell you how excited I am."
207,"00:11:08,750","00:11:10,126",You should be.
208,"00:11:10,210","00:11:13,964",There's two keys to success in the broker business.
209,"00:11:14,089","00:11:15,632",First of all...
210,"00:11:17,425","00:11:19,678",- You gotta stay relaxed. - Yeah.
211,"00:11:19,761","00:11:20,887",Do you jerk off?
212,"00:11:22,430","00:11:24,015",Do I... Do I jerk off?
213,"00:11:24,099","00:11:26,309","Yeah. Yeah, I jerk off. Yeah."
214,"00:11:26,393","00:11:27,686",How many times a week?
215,"00:11:28,770","00:11:30,355",Like three or four.
216,"00:11:30,438","00:11:32,732","- Three or four times, maybe five. - Gotta pump those numbers up."
217,"00:11:32,816","00:11:35,318",Those are rookie numbers in this racket.
218,"00:11:35,443","00:11:39,072","I myself, I jerk off at least twice a day."
219,"00:11:39,698","00:11:40,866",- Wow. - Once in the morning
220,"00:11:40,949","00:11:43,410","right after I work out, then once right after lunch."
221,"00:11:43,493","00:11:44,870",Really?
222,"00:11:45,453","00:11:47,873",I want to. That's not why I do it.
223,"00:11:47,998","00:11:50,083",I do it 'cause I fucking need to.
224,"00:11:51,084","00:11:52,669",Think about it. You're dealing with numbers.
225,"00:11:52,752","00:11:55,714","All day long, decimal points, high frequencies."
226,"00:11:55,797","00:11:56,840","Bang, bang, bang."
227,"00:11:57,799","00:11:59,134",Fucking digits.
228,"00:11:59,885","00:12:02,637",All very acidic above-the-shoulders mustard shit.
229,"00:12:02,721","00:12:03,972",All right?
230,"00:12:04,097","00:12:06,558",It kind of wigs some people out. Right.
231,"00:12:06,641","00:12:08,768",You got to feed the geese to keep the blood flowing.
232,"00:12:08,852","00:12:10,520",I keep the rhythm below the belt.
233,"00:12:10,645","00:12:11,855",Done.
234,"00:12:11,938","00:12:13,607","This is not a tip, this is a prescription."
235,"00:12:13,690","00:12:14,858",Trust me.
236,"00:12:14,983","00:12:17,444","If you don't, you will fall out of balance,"
237,"00:12:17,527","00:12:19,654",split your differential and tip the fuck over.
238,"00:12:19,738","00:12:21,031","Or worse yet,"
239,"00:12:21,114","00:12:23,325","I've seen this happen, implode."
240,"00:12:23,408","00:12:24,868","No, I don't want to implode, sir."
241,"00:12:24,951","00:12:26,119","No. No, you don't."
242,"00:12:26,202","00:12:27,454","I'm in it for the long run, you know?"
243,"00:12:27,537","00:12:29,122",- Implosions are ugly. - Yeah.
244,"00:12:29,205","00:12:31,374","Pop off to the bathroom, work one out any time you can."
245,"00:12:31,458","00:12:32,459","When you get really good at it,"
246,"00:12:32,542","00:12:35,670",you'll fucking be stroking it and you'll be thinking about money.
247,"00:12:36,338","00:12:40,842",Second key to success in this racket
248,"00:12:40,926","00:12:42,177",is this little baby right here.
249,"00:12:42,260","00:12:43,637",It's called cocaine.
250,"00:12:43,720","00:12:45,013",Right.
251,"00:12:45,096","00:12:48,934",It'll keep you sharp between the ears. It'll also help your fingers dial faster.
252,"00:12:49,017","00:12:50,393",And guess what?
253,"00:12:50,477","00:12:52,020",That's good for me.
254,"00:12:52,771","00:12:54,022","Yes, sir."
255,"00:12:54,814","00:12:56,274",Revolutions. You follow?
256,"00:12:56,358","00:12:57,442",Revolutions.
257,"00:12:57,525","00:12:59,778",Keep the clients on the Ferris wheel.
258,"00:12:59,861","00:13:03,406","And it goes. The park is open 24/7, 365,"
259,"00:13:03,490","00:13:06,409","every decade, every goddamn century."
260,"00:13:06,534","00:13:07,911",That's it.
261,"00:13:08,536","00:13:09,704",The name of the game.
262,"00:13:11,247","00:13:12,290",Halkidiki?
263,"00:13:12,374","00:13:13,500",Thank you.
264,"00:13:25,887","00:13:26,930",Come on.
265,"00:13:32,060","00:13:34,062",We're the common denominator.
266,"00:13:42,654","00:13:44,155",Keep it up for me.
267,"00:13:44,239","00:13:46,157",<i>You've seen the echo</i>
268,"00:13:46,241","00:13:47,784",<i>And the money comes in</i>
269,"00:13:48,368","00:13:50,286",<i>The parade comes to town</i>
270,"00:13:50,412","00:13:52,163",<i>Going down Broadway</i>
271,"00:13:52,247","00:13:53,832",<i>It's a one-way street</i>
272,"00:13:53,915","00:13:55,166",<i>Whichever way I go</i>
273,"00:13:59,295","00:14:00,463","<i>The next six months,</i>"
274,"00:14:00,547","00:14:02,882",<i>I got to know the ins and outs of Wall Street.</i>
275,"00:14:02,966","00:14:06,594",<i>Earning shit money as I geared up to take my Series 7.</i>
276,"00:14:12,434","00:14:13,810","Oh, fuckers."
277,"00:14:20,775","00:14:24,696","<i>Then I was a licensed broker at last,</i>"
278,"00:14:24,779","00:14:26,740",<i>ready to make my fortune.</i>
279,"00:14:26,823","00:14:31,411",<i>My first day as a future Master of the Universe.</i>
280,"00:14:38,293","00:14:41,004",I have Exxon at 86Â¼ six months ago.
281,"00:14:41,129","00:14:43,465",Today it is trading at 36Â½.
282,"00:14:43,548","00:14:44,716",Mr...
283,"00:14:48,636","00:14:51,097",<i>They called it Black Monday.</i>
284,"00:14:51,181","00:14:52,390",<i>No shit.</i>
285,"00:14:52,474","00:14:56,561","<i>By 4:00 p.m., the market had dropped 508 points.</i>"
286,"00:14:56,644","00:14:59,481",<i>The biggest plummet since the crash of '29.</i>
287,"00:14:59,564","00:15:00,940","I know your family, you know mine."
288,"00:15:01,024","00:15:04,027","No, I don't know. Some fucking country in Europe took a shit."
289,"00:15:04,110","00:15:05,445",Let them do what they want to fucking do.
290,"00:15:05,528","00:15:06,780",Our market's solid.
291,"00:15:06,863","00:15:08,490",This is not something that you want to sell.
292,"00:15:08,615","00:15:10,158",You know what happened? A fucking tsunami.
293,"00:15:10,283","00:15:11,534",I think you're making a big mistake.
294,"00:15:11,618","00:15:13,036","Yes, I will talk to your wife."
295,"00:15:13,119","00:15:14,204","Trust me, do not answer the phone."
296,"00:15:14,287","00:15:17,248","A lot of people are gonna be calling you, trying to get your dirty laundry."
297,"00:15:17,332","00:15:18,625",We don't know what's going on here.
298,"00:15:18,708","00:15:19,959",I know. I know.
299,"00:15:30,136","00:15:31,387",Holy
