number_of_dialog,start_time,end_time,dialog
368,"00:27:39,873","00:27:41,833","Who do you hate, Danny?"
369,"00:27:41,875","00:27:45,003",I hate anyone that isn't white Protestant.
370,"00:27:45,045","00:27:46,004",Why?
371,"00:27:46,046","00:27:48,673",They're a burden to the advancement of the white race.
372,"00:27:48,715","00:27:50,008",Some are all right.
373,"00:27:50,050","00:27:52,844","None of them are fucking all right, OK?"
374,"00:27:52,879","00:27:55,639",They're all a bunch of fucking freeloaders.
375,"00:27:55,680","00:27:58,058",We don't know 'em. We don't want to know 'em.
376,"00:27:58,093","00:27:59,309",They're the fucking enemy.
377,"00:28:01,770","00:28:03,521",What don't you like about them...
378,"00:28:03,563","00:28:05,482",and say it with some fucking conviction.
379,"00:28:05,523","00:28:08,735",I hate the fact it's cool to be black these days.
380,"00:28:08,777","00:28:09,903",Good.
381,"00:28:09,944","00:28:14,032",I hate this hip-hop influence on white fucking suburbia.
382,"00:28:14,074","00:28:15,617",Good.
383,"00:28:15,659","00:28:19,788",I hate Tabitha Soren and her Zionist MTV fucking pigs...
384,"00:28:19,829","00:28:21,414",telling us we should get along.
385,"00:28:21,456","00:28:24,584","Save the rhetorical bullshit, Hillary Rodham Clinton..."
386,"00:28:24,626","00:28:26,378",'cause it ain't gonna fucking happen.
387,"00:28:26,419","00:28:28,546",That's some of the best shit I've ever heard.
388,"00:28:28,588","00:28:32,217","I feel sorry for you, Danny."
389,"00:28:32,258","00:28:34,386","You don't believe any of that shit, right?"
390,"00:28:34,427","00:28:35,553",Shut up.
391,"00:28:35,595","00:28:39,182","No. Get out of the house now, you piece of shit."
392,"00:28:39,224","00:28:41,935","Is that any way to talk to a guest, a friend?"
393,"00:28:41,977","00:28:44,145","Derek hates you, and you don't realize it."
394,"00:28:44,187","00:28:46,731",How do you know who I hate?
395,"00:28:46,773","00:28:50,110",Back from the dead. God bless Jesus Christ.
396,"00:28:50,151","00:28:52,570","God, I think you lost weight."
397,"00:28:52,612","00:28:54,781",I can get my arms almost all the way around you.
398,"00:28:54,823","00:28:58,910","Fifty fucking pounds, man. Look at this hair. Holy shit."
399,"00:28:58,952","00:29:02,080",I told him it's gotta go.
400,"00:29:02,122","00:29:04,249",Grab your jacket. Let's get the fuck out of here.
401,"00:29:04,291","00:29:08,420",I want to talk to him. One second.
402,"00:29:08,461","00:29:13,383","Hey, listen. Did you pull some shit in school today?"
403,"00:29:13,425","00:29:16,594",- Just the usual. - This kid is awesome as hell.
404,"00:29:16,636","00:29:19,556","Did you turn in a paper on ""Mein Kampf""?"
405,"00:29:20,849","00:29:24,102","- Sweeney shit his pants. - He did, man."
406,"00:29:24,144","00:29:27,188",Was that your idea or did Cameron put you up to that?
407,"00:29:27,230","00:29:30,066",No. I thought it would be cool. How'd you know?
408,"00:29:30,108","00:29:32,277",It doesn't matter how I knew.
409,"00:29:32,319","00:29:34,612",This kid is smart as hell.
410,"00:29:34,654","00:29:36,656",Was that Sweeney on the phone?
411,"00:29:36,698","00:29:38,575",Sweeney called and told me.
412,"00:29:38,616","00:29:41,619","God, I hate that fucking nigger, man."
413,"00:29:41,661","00:29:43,121",He's gotta get a fucking life.
414,"00:29:44,372","00:29:46,082",Sweeney's a good teacher.
415,"00:29:46,124","00:29:48,293",Sweeney is a nigger on a power trip.
416,"00:29:48,335","00:29:50,378",That's what he was like when we were there...
417,"00:29:50,420","00:29:52,922",and that's how he is now. It'll never change.
418,"00:29:52,964","00:29:54,132",Fuck that nigger!
419,"00:29:54,174","00:29:56,259","- Seth, go away. - Are you kidding?"
420,"00:29:56,301","00:29:59,638",Nope. Wait in Danny's room. I want to talk to my brother.
421,"00:29:59,679","00:30:02,515",I've been here 15 minutes. I'm starving.
422,"00:30:06,728","00:30:10,607","Come here. Seriously, look. Forget this yahoo."
423,"00:30:10,649","00:30:13,568",He kills bugs for a living. You don't want to be like that.
424,"00:30:13,610","00:30:15,153",I'm serious. It's not funny.
425,"00:30:15,195","00:30:17,530",Sweeney is a good teacher. You can learn a lot from him.
426,"00:30:17,572","00:30:20,784",Don't go fuck it up with small fry shit like that.
427,"00:30:20,825","00:30:22,167",You don't understand.
428,"00:30:22,202","00:30:24,329",You got to see the bullshit paper he's making me write.
